序号,Phase,名称,详情锚点,前置任务,验证命令,状态,备注
1,P0:基线锁定,记录测试与依赖基线,spec.md#task-1,无,pnpm test 记录通过数 + rg 存 before-rg.txt,待开始,
2,P0:基线锁定,执行 Phase 0 回归验证,spec.md#task-2,1,evidence/phase-0/ 两份基线文件存在,待开始,
3,P1:session-marks 库,新增 packages/session-marks,spec.md#task-3,2,pnpm --filter session-marks test → 全绿,待开始,
4,P1:session-marks 库,执行 Phase 1 回归验证,spec.md#task-4,3,session-marks test+typecheck 全绿,待开始,
5,P2:接线工具实现,local create/rename 写标记表,spec.md#task-5,4,pnpm --filter session-tool-local test 且 rename-only-tags 落盘,待开始,
6,P2:接线工具实现,list/collect JOIN 标记表与双闸,spec.md#task-6,5,local+tool-session test 含 ~ 与 kind:hidden,待开始,
7,P2:接线工具实现,执行 Phase 2 回归验证,spec.md#task-7,6,local+tool-session test 全绿,待开始,
8,P3:委派与查询面,委派 create 合并 kind:delegated,spec.md#task-8,7,service.spec 正反例全绿,待开始,
9,P3:委派与查询面,导出 listByKind 与 CLI marks,spec.md#task-9,8,dsh-session marks list/get 可跑,待开始,
10,P3:委派与查询面,执行 Phase 3 回归验证,spec.md#task-10,9,相关单测绿,待开始,
11,P4:拆除 vendor,删除 vendor 与 bundle 挂载,spec.md#task-11,10,rg packages 无 dsh-session-tags；pnpm test build,待开始,
12,P4:拆除 vendor,执行 Phase 4 回归验证,spec.md#task-12,11,全仓 build+test,待开始,
13,P5:文档,更新 README 与工具描述,spec.md#task-13,12,rg 无「session/tags 都是现成」,待开始,
14,P5:文档,执行 Phase 5 回归验证,spec.md#task-14,13,build+test 仍绿,待开始,
15,P6:真实场景与总回归,执行 spec 5.2 真实场景全套测试,spec.md#task-15,14,5.2 矩阵全行过且 evidence 落盘,待开始,
16,P6:真实场景与总回归,执行 Phase 6 回归验证,spec.md#task-16,15,5.1 复跑 + validate_package 证据闸门,待开始,
